"Vi(DAC)","Vo(ADC-s0)","Vo(ADC-s1)","Vo(ADC-s2)","Vo(ADC-s3)","Vo(ADC-s4)","Vo(ADC-s5)","Vo(ADC-s6)","Vo(ADC-s7)"
0.000000,0,0,0,0,0,0,0,0
0.004883,0,0,0,0,0,0,0,0
0.009766,0,0,0,0,0,0,0,0
0.014648,0,0,0,0,0,0,0,0
0.019531,5,0,0,0,0,0,0,0
0.024414,5,0,0,0,0,0,0,0
0.029297,5,0,0,0,0,0,0,0
0.034180,0,5,0,0,0,0,0,0
0.039063,0,5,0,0,0,0,0,0
0.043945,0,5,0,0,0,0,0,0
0.048828,0,5,0,0,0,0,0,0
0.053711,5,5,0,0,0,0,0,0
0.058594,5,5,0,0,0,0,0,0
0.063477,5,5,0,0,0,0,0,0
0.068359,5,5,0,0,0,0,0,0
0.073242,0,0,5,0,0,0,0,0
0.078125,0,0,5,0,0,0,0,0
0.083008,0,0,5,0,0,0,0,0
0.087891,0,0,5,0,0,0,0,0
0.092773,5,0,5,0,0,0,0,0
0.097656,5,0,5,0,0,0,0,0
0.102539,5,0,5,0,0,0,0,0
0.107422,0,5,5,0,0,0,0,0
0.112305,0,5,5,0,0,0,0,0
0.117188,0,5,5,0,0,0,0,0
0.122070,0,5,5,0,0,0,0,0
0.126953,5,5,5,0,0,0,0,0
0.131836,5,5,5,0,0,0,0,0
0.136719,5,5,5,0,0,0,0,0
0.141602,5,5,5,0,0,0,0,0
0.146484,5,5,5,0,0,0,0,0
0.151367,0,0,0,5,0,0,0,0
0.156250,0,0,0,5,0,0,0,0
0.161133,0,0,0,5,0,0,0,0
0.166016,0,0,0,5,0,0,0,0
0.170898,5,0,0,5,0,0,0,0
0.175781,5,0,0,5,0,0,0,0
0.180664,5,0,0,5,0,0,0,0
0.185547,0,5,0,5,0,0,0,0
0.190430,0,5,0,5,0,0,0,0
0.195313,0,5,0,5,0,0,0,0
0.200195,0,5,0,5,0,0,0,0
0.205078,5,5,0,5,0,0,0,0
0.209961,5,5,0,5,0,0,0,0
0.214844,5,5,0,5,0,0,0,0
0.219727,5,5,0,5,0,0,0,0
0.224609,0,0,5,5,0,0,0,0
0.229492,0,0,5,5,0,0,0,0
0.234375,0,0,5,5,0,0,0,0
0.239258,0,0,5,5,0,0,0,0
0.244141,5,0,5,5,0,0,0,0
0.249023,5,0,5,5,0,0,0,0
0.253906,5,0,5,5,0,0,0,0
0.258789,0,5,5,5,0,0,0,0
0.263672,0,5,5,5,0,0,0,0
0.268555,0,5,5,5,0,0,0,0
0.273438,0,5,5,5,0,0,0,0
0.278320,5,5,5,5,0,0,0,0
0.283203,5,5,5,5,0,0,0,0
0.288086,5,5,5,5,0,0,0,0
0.292969,5,5,5,5,0,0,0,0
0.297852,5,5,5,5,0,0,0,0
0.302734,0,0,0,0,5,0,0,0
0.307617,0,0,0,0,5,0,0,0
0.312500,0,0,0,0,5,0,0,0
0.317383,0,0,0,0,5,0,0,0
0.322266,5,0,0,0,5,0,0,0
0.327148,5,0,0,0,5,0,0,0
0.332031,5,0,0,0,5,0,0,0
0.336914,5,0,0,0,5,0,0,0
0.341797,0,5,0,0,5,0,0,0
0.346680,0,5,0,0,5,0,0,0
0.351563,0,5,0,0,5,0,0,0
0.356445,5,5,0,0,5,0,0,0
0.361328,5,5,0,0,5,0,0,0
0.366211,5,5,0,0,5,0,0,0
0.371094,5,5,0,0,5,0,0,0
0.375977,5,5,0,0,5,0,0,0
0.380859,0,0,5,0,5,0,0,0
0.385742,0,0,5,0,5,0,0,0
0.390625,0,0,5,0,5,0,0,0
0.395508,0,0,5,0,5,0,0,0
0.400391,5,0,5,0,5,0,0,0
0.405273,5,0,5,0,5,0,0,0
0.410156,5,0,5,0,5,0,0,0
0.415039,0,5,5,0,5,0,0,0
0.419922,0,5,5,0,5,0,0,0
0.424805,0,5,5,0,5,0,0,0
0.429688,0,5,5,0,5,0,0,0
0.434570,5,5,5,0,5,0,0,0
0.439453,5,5,5,0,5,0,0,0
0.444336,5,5,5,0,5,0,0,0
0.449219,0,0,0,5,5,0,0,0
0.454102,0,0,0,5,5,0,0,0
0.458984,0,0,0,5,5,0,0,0
0.463867,0,0,0,5,5,0,0,0
0.468750,0,0,0,5,5,0,0,0
0.473633,5,0,0,5,5,0,0,0
0.478516,5,0,0,5,5,0,0,0
0.483398,5,0,0,5,5,0,0,0
0.488281,5,0,0,5,5,0,0,0
0.493164,0,5,0,5,5,0,0,0
0.498047,0,5,0,5,5,0,0,0
0.502930,0,5,0,5,5,0,0,0
0.507813,0,5,0,5,5,0,0,0
0.512695,5,5,0,5,5,0,0,0
0.517578,5,5,0,5,5,0,0,0
0.522461,5,5,0,5,5,0,0,0
0.527344,0,0,5,5,5,0,0,0
0.532227,0,0,5,5,5,0,0,0
0.537109,0,0,5,5,5,0,0,0
0.541992,0,0,5,5,5,0,0,0
0.546875,0,0,5,5,5,0,0,0
0.551758,5,0,5,5,5,0,0,0
0.556641,5,0,5,5,5,0,0,0
0.561523,5,0,5,5,5,0,0,0
0.566406,0,5,5,5,5,0,0,0
0.571289,0,5,5,5,5,0,0,0
0.576172,0,5,5,5,5,0,0,0
0.581055,0,5,5,5,5,0,0,0
0.585938,5,5,5,5,5,0,0,0
0.590820,5,5,5,5,5,0,0,0
0.595703,5,5,5,5,5,0,0,0
0.600586,5,5,5,5,5,0,0,0
0.605469,5,5,5,5,5,0,0,0
0.610352,0,0,0,0,0,5,0,0
0.615234,0,0,0,0,0,5,0,0
0.620117,0,0,0,0,0,5,0,0
0.625000,0,0,0,0,0,5,0,0
0.629883,5,0,0,0,0,5,0,0
0.634766,5,0,0,0,0,5,0,0
0.639648,5,0,0,0,0,5,0,0
0.644531,0,5,0,0,0,5,0,0
0.649414,0,5,0,0,0,5,0,0
0.654297,0,5,0,0,0,5,0,0
0.659180,0,5,0,0,0,5,0,0
0.664063,5,5,0,0,0,5,0,0
0.668945,5,5,0,0,0,5,0,0
0.673828,5,5,0,0,0,5,0,0
0.678711,5,5,0,0,0,5,0,0
0.683594,0,0,5,0,0,5,0,0
0.688477,0,0,5,0,0,5,0,0
0.693359,0,0,5,0,0,5,0,0
0.698242,0,0,5,0,0,5,0,0
0.703125,5,0,5,0,0,5,0,0
0.708008,5,0,5,0,0,5,0,0
0.712891,5,0,5,0,0,5,0,0
0.717774,0,5,5,0,0,5,0,0
0.722656,0,5,5,0,0,5,0,0
0.727539,0,5,5,0,0,5,0,0
0.732422,0,5,5,0,0,5,0,0
0.737305,5,5,5,0,0,5,0,0
0.742188,5,5,5,0,0,5,0,0
0.747070,5,5,5,0,0,5,0,0
0.751953,5,5,5,0,0,5,0,0
0.756836,5,5,5,0,0,5,0,0
0.761719,0,0,0,5,0,5,0,0
0.766602,0,0,0,5,0,5,0,0
0.771484,0,0,0,5,0,5,0,0
0.776367,0,0,0,5,0,5,0,0
0.781250,5,0,0,5,0,5,0,0
0.786133,5,0,0,5,0,5,0,0
0.791016,5,0,0,5,0,5,0,0
0.795899,0,5,0,5,0,5,0,0
0.800781,0,5,0,5,0,5,0,0
0.805664,0,5,0,5,0,5,0,0
0.810547,0,5,0,5,0,5,0,0
0.815430,5,5,0,5,0,5,0,0
0.820313,5,5,0,5,0,5,0,0
0.825195,5,5,0,5,0,5,0,0
0.830078,5,5,0,5,0,5,0,0
0.834961,0,0,5,5,0,5,0,0
0.839844,0,0,5,5,0,5,0,0
0.844727,0,0,5,5,0,5,0,0
0.849609,0,0,5,5,0,5,0,0
0.854492,5,0,5,5,0,5,0,0
0.859375,5,0,5,5,0,5,0,0
0.864258,5,0,5,5,0,5,0,0
0.869141,0,5,5,5,0,5,0,0
0.874024,0,5,5,5,0,5,0,0
0.878906,0,5,5,5,0,5,0,0
0.883789,0,5,5,5,0,5,0,0
0.888672,5,5,5,5,0,5,0,0
0.893555,5,5,5,5,0,5,0,0
0.898438,5,5,5,5,0,5,0,0
0.903320,5,5,5,5,0,5,0,0
0.908203,0,0,0,0,5,5,0,0
0.913086,0,0,0,0,5,5,0,0
0.917969,0,0,0,0,5,5,0,0
0.922852,0,0,0,0,5,5,0,0
0.927734,0,0,0,0,5,5,0,0
0.932617,5,0,0,0,5,5,0,0
0.937500,5,0,0,0,5,5,0,0
0.942383,5,0,0,0,5,5,0,0
0.947266,5,0,0,0,5,5,0,0
0.952149,0,5,0,0,5,5,0,0
0.957031,0,5,0,0,5,5,0,0
