"Vi (unknown)","value(VT("/Saida<0>") 6.75e-05)","value(VT("/Saida<1>") 6.75e-05)","value(VT("/Saida<2>") 6.75e-05)","value(VT("/Saida<3>") 6.75e-05)","value(VT("/Saida<4>") 6.75e-05)"
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
8.0E-3,0.00000,0.00000,0.00000,0.00000,0.00000
16.0E-3,0.00000,0.00000,0.00000,0.00000,0.00000
24.0E-3,0.00000,0.00000,0.00000,0.00000,0.00000
32.0E-3,0.00000,0.00000,0.00000,0.00000,0.00000
40.0E-3,5.000,0.00000,0.00000,0.00000,0.00000
48.0E-3,5.000,0.00000,0.00000,0.00000,0.00000
56.0E-3,5.000,0.00000,0.00000,0.00000,0.00000
64.0E-3,5.000,0.00000,0.00000,0.00000,0.00000
72.0E-3,5.000,0.00000,0.00000,0.00000,0.00000
80.0E-3,5.000,0.00000,0.00000,0.00000,0.00000
88.0E-3,5.000,0.00000,0.00000,0.00000,0.00000
96.0E-3,5.000,0.00000,0.00000,0.00000,0.00000
104.0E-3,5.000,0.00000,0.00000,0.00000,0.00000
112.0E-3,5.000,0.00000,0.00000,0.00000,0.00000
120.0E-3,5.000,0.00000,0.00000,0.00000,0.00000
128.0E-3,0.00000,5.000,0.00000,0.00000,0.00000
136.0E-3,0.00000,5.000,0.00000,0.00000,0.00000
144.0E-3,0.00000,5.000,0.00000,0.00000,0.00000
152.0E-3,0.00000,5.000,0.00000,0.00000,0.00000
160.0E-3,0.00000,5.000,0.00000,0.00000,0.00000
168.0E-3,0.00000,5.000,0.00000,0.00000,0.00000
176.0E-3,0.00000,5.000,0.00000,0.00000,0.00000
184.0E-3,0.00000,5.000,0.00000,0.00000,0.00000
192.0E-3,0.00000,5.000,0.00000,0.00000,0.00000
200.0E-3,5.000,5.000,0.00000,0.00000,0.00000
208.0E-3,5.000,5.000,0.00000,0.00000,0.00000
216.0E-3,5.000,5.000,0.00000,0.00000,0.00000
224.0E-3,5.000,5.000,0.00000,0.00000,0.00000
232.0E-3,5.000,5.000,0.00000,0.00000,0.00000
240.0E-3,5.000,5.000,0.00000,0.00000,0.00000
248.0E-3,5.000,5.000,0.00000,0.00000,0.00000
256.0E-3,5.000,5.000,0.00000,0.00000,0.00000
264.0E-3,5.000,5.000,0.00000,0.00000,0.00000
272.0E-3,5.000,5.000,0.00000,0.00000,0.00000
280.0E-3,0.00000,0.00000,5.000,0.00000,0.00000
288.0E-3,0.00000,0.00000,5.000,0.00000,0.00000
296.0E-3,0.00000,0.00000,5.000,0.00000,0.00000
304.0E-3,0.00000,0.00000,5.000,0.00000,0.00000
312.0E-3,0.00000,0.00000,5.000,0.00000,0.00000
320.0E-3,0.00000,0.00000,5.000,0.00000,0.00000
328.0E-3,0.00000,0.00000,5.000,0.00000,0.00000
336.0E-3,0.00000,0.00000,5.000,0.00000,0.00000
344.0E-3,0.00000,0.00000,5.000,0.00000,0.00000
352.0E-3,0.00000,0.00000,5.000,0.00000,0.00000
360.0E-3,5.000,0.00000,5.000,0.00000,0.00000
368.0E-3,5.000,0.00000,5.000,0.00000,0.00000
376.0E-3,5.000,0.00000,5.000,0.00000,0.00000
384.0E-3,5.000,0.00000,5.000,0.00000,0.00000
392.0E-3,5.000,0.00000,5.000,0.00000,0.00000
400.0E-3,5.000,0.00000,5.000,0.00000,0.00000
408.0E-3,5.000,0.00000,5.000,0.00000,0.00000
416.0E-3,5.000,0.00000,5.000,0.00000,0.00000
424.0E-3,5.000,0.00000,5.000,0.00000,0.00000
432.0E-3,5.000,0.00000,5.000,0.00000,0.00000
440.0E-3,0.00000,5.000,5.000,0.00000,0.00000
448.0E-3,0.00000,5.000,5.000,0.00000,0.00000
456.0E-3,0.00000,5.000,5.000,0.00000,0.00000
464.0E-3,0.00000,5.000,5.000,0.00000,0.00000
472.0E-3,0.00000,5.000,5.000,0.00000,0.00000
480.0E-3,0.00000,5.000,5.000,0.00000,0.00000
488.0E-3,0.00000,5.000,5.000,0.00000,0.00000
496.0E-3,0.00000,5.000,5.000,0.00000,0.00000
504.0E-3,0.00000,5.000,5.000,0.00000,0.00000
512.0E-3,0.00000,5.000,5.000,0.00000,0.00000
520.0E-3,5.000,5.000,5.000,0.00000,0.00000
528.0E-3,5.000,5.000,5.000,0.00000,0.00000
536.0E-3,5.000,5.000,5.000,0.00000,0.00000
544.0E-3,5.000,5.000,5.000,0.00000,0.00000
552.0E-3,5.000,5.000,5.000,0.00000,0.00000
560.0E-3,5.000,5.000,5.000,0.00000,0.00000
568.0E-3,5.000,5.000,5.000,0.00000,0.00000
576.0E-3,5.000,5.000,5.000,0.00000,0.00000
584.0E-3,5.000,5.000,5.000,0.00000,0.00000
592.0E-3,5.000,5.000,5.000,0.00000,0.00000
600.0E-3,0.00000,0.00000,0.00000,5.000,0.00000
608.0E-3,0.00000,0.00000,0.00000,5.000,0.00000
616.0E-3,0.00000,0.00000,0.00000,5.000,0.00000
624.0E-3,0.00000,0.00000,0.00000,5.000,0.00000
632.0E-3,0.00000,0.00000,0.00000,5.000,0.00000
640.0E-3,0.00000,0.00000,0.00000,5.000,0.00000
648.0E-3,0.00000,0.00000,0.00000,5.000,0.00000
656.0E-3,0.00000,0.00000,0.00000,5.000,0.00000
664.0E-3,0.00000,0.00000,0.00000,5.000,0.00000
672.0E-3,0.00000,0.00000,0.00000,5.000,0.00000
680.0E-3,5.000,0.00000,0.00000,5.000,0.00000
688.0E-3,5.000,0.00000,0.00000,5.000,0.00000
696.0E-3,5.000,0.00000,0.00000,5.000,0.00000
704.0E-3,5.000,0.00000,0.00000,5.000,0.00000
712.0E-3,5.000,0.00000,0.00000,5.000,0.00000
720.0E-3,5.000,0.00000,0.00000,5.000,0.00000
728.0E-3,5.000,0.00000,0.00000,5.000,0.00000
736.0E-3,5.000,0.00000,0.00000,5.000,0.00000
744.0E-3,5.000,0.00000,0.00000,5.000,0.00000
752.0E-3,5.000,0.00000,0.00000,5.000,0.00000
760.0E-3,5.000,0.00000,0.00000,5.000,0.00000
768.0E-3,0.00000,5.000,0.00000,5.000,0.00000
776.0E-3,0.00000,5.000,0.00000,5.000,0.00000
784.0E-3,0.00000,5.000,0.00000,5.000,0.00000
792.0E-3,0.00000,5.000,0.00000,5.000,0.00000
800.0E-3,0.00000,5.000,0.00000,5.000,0.00000
808.0E-3,0.00000,5.000,0.00000,5.000,0.00000
816.0E-3,0.00000,5.000,0.00000,5.000,0.00000
824.0E-3,0.00000,5.000,0.00000,5.000,0.00000
832.0E-3,0.00000,5.000,0.00000,5.000,0.00000
840.0E-3,0.00000,5.000,0.00000,5.000,0.00000
848.0E-3,5.000,5.000,0.00000,5.000,0.00000
856.0E-3,5.000,5.000,0.00000,5.000,0.00000
864.0E-3,5.000,5.000,0.00000,5.000,0.00000
872.0E-3,5.000,5.000,0.00000,5.000,0.00000
880.0E-3,5.000,5.000,0.00000,5.000,0.00000
888.0E-3,5.000,5.000,0.00000,5.000,0.00000
896.0E-3,5.000,5.000,0.00000,5.000,0.00000
904.0E-3,5.000,5.000,0.00000,5.000,0.00000
912.0E-3,5.000,5.000,0.00000,5.000,0.00000
920.0E-3,5.000,5.000,0.00000,5.000,0.00000
928.0E-3,0.00000,0.00000,5.000,5.000,0.00000
936.0E-3,0.00000,0.00000,5.000,5.000,0.00000
944.0E-3,0.00000,0.00000,5.000,5.000,0.00000
952.0E-3,0.00000,0.00000,5.000,5.000,0.00000
960.0E-3,0.00000,0.00000,5.000,5.000,0.00000
968.0E-3,0.00000,0.00000,5.000,5.000,0.00000
976.0E-3,0.00000,0.00000,5.000,5.000,0.00000
984.0E-3,0.00000,0.00000,5.000,5.000,0.00000
992.0E-3,0.00000,0.00000,5.000,5.000,0.00000
1.000,0.00000,0.00000,5.000,5.000,0.00000
1.008,5.000,0.00000,5.000,5.000,0.00000
1.016,5.000,0.00000,5.000,5.000,0.00000
1.024,5.000,0.00000,5.000,5.000,0.00000
1.032,5.000,0.00000,5.000,5.000,0.00000
1.040,5.000,0.00000,5.000,5.000,0.00000
1.048,5.000,0.00000,5.000,5.000,0.00000
1.056,5.000,0.00000,5.000,5.000,0.00000
1.064,5.000,0.00000,5.000,5.000,0.00000
1.072,5.000,0.00000,5.000,5.000,0.00000
1.080,5.000,0.00000,5.000,5.000,0.00000
1.088,5.000,0.00000,5.000,5.000,0.00000
1.096,0.00000,5.000,5.000,5.000,0.00000
1.104,0.00000,5.000,5.000,5.000,0.00000
1.112,0.00000,5.000,5.000,5.000,0.00000
1.120,0.00000,5.000,5.000,5.000,0.00000
1.128,0.00000,5.000,5.000,5.000,0.00000
1.136,0.00000,5.000,5.000,5.000,0.00000
1.144,0.00000,5.000,5.000,5.000,0.00000
1.152,0.00000,5.000,5.000,5.000,0.00000
1.160,0.00000,5.000,5.000,5.000,0.00000
1.168,0.00000,5.000,5.000,5.000,0.00000
1.176,5.000,5.000,5.000,5.000,0.00000
1.184,5.000,5.000,5.000,5.000,0.00000
1.192,5.000,5.000,5.000,5.000,0.00000
1.200,5.000,5.000,5.000,5.000,0.00000
1.208,5.000,5.000,5.000,5.000,0.00000
1.216,5.000,5.000,5.000,5.000,0.00000
1.224,5.000,5.000,5.000,5.000,0.00000
1.232,5.000,5.000,5.000,5.000,0.00000
1.240,5.000,5.000,5.000,5.000,0.00000
1.248,5.000,5.000,5.000,5.000,0.00000
1.256,0.00000,0.00000,0.00000,0.00000,5.000
1.264,0.00000,0.00000,0.00000,0.00000,5.000
1.272,0.00000,0.00000,0.00000,0.00000,5.000
1.280,0.00000,0.00000,0.00000,0.00000,5.000
1.288,0.00000,0.00000,0.00000,0.00000,5.000
1.296,0.00000,0.00000,0.00000,0.00000,5.000
